X,Y,Elevation,Target
550050,213750,10,3
550050,213750,20,4
550050,213750,30,4
550050,213750,40,5
550050,213800,-20,2
550050,213800,-10,2
550050,213800,0,3
550050,213800,10,3
550050,213800,20,4
550050,213800,30,4
550050,213800,40,5
550050,213850,-20,2
550050,213850,-10,2
550050,213850,0,3
550050,213850,10,3
550050,213850,20,4
550050,213850,30,4
550050,213850,40,5
550050,213900,-20,2
550050,213900,-10,3
550050,213900,0,3
550050,213900,10,4
550050,213900,20,4
550050,213900,30,5
550050,213900,40,5
550100,213550,-20,1
550100,213550,-10,1
550100,213550,0,2
550100,213550,10,3
550100,213550,20,3
550100,213550,30,4
550100,213550,40,4
550100,213600,-20,1
550100,213600,-10,2
550100,213600,0,2
550100,213600,10,3
550100,213600,20,3
550100,213600,30,4
550100,213600,40,4
550100,213650,-20,1
550100,213650,-10,2
550100,213650,0,2
550100,213650,10,3
550100,213650,20,3
550100,213650,30,4
550100,213650,40,4
550100,213700,-20,1
550100,213700,-10,2
550100,213700,0,2
550100,213700,10,3
550100,213700,20,4
550100,213700,30,4
550100,213700,40,5
550100,213750,-20,2
550100,213750,-10,2
550100,213750,0,3
550100,213750,10,3
550100,213750,20,4
550100,213750,30,4
550100,213750,40,5
550100,213800,-20,2
550100,213800,-10,2
550100,213800,0,3
550100,213800,10,3
550100,213800,20,4
550100,213800,30,4
550100,213800,40,5
550100,213850,-20,2
550100,213850,-10,2
550100,213850,0,3
550100,213850,10,3
550100,213850,20,4
550100,213850,30,4
550100,213850,40,5
550100,213900,-20,2
550100,213900,-10,2
550100,213900,0,3
550100,213900,10,4
550100,213900,20,4
550100,213900,30,5
550100,213900,40,5
550150,213550,-20,1
550150,213550,-10,1
550150,213550,0,2
550150,213550,10,3
550150,213550,20,3
550150,213550,30,4
550150,213550,40,4
550150,213600,-20,1
550150,213600,-10,2
550150,213600,0,2
550150,213600,10,3
550150,213600,20,3
550150,213600,30,4
550150,213600,40,4
550150,213650,-20,1
550150,213650,-10,2
550150,213650,0,2
550150,213650,10,3
550150,213650,20,3
550150,213650,30,4
550150,213650,40,4
550150,213700,-20,1
550150,213700,-10,2
550150,213700,0,2
550150,213700,10,3
550150,213700,20,4
550150,213700,30,4
550150,213700,40,5
550150,213750,-20,2
550150,213750,-10,2
550150,213750,0,3
550150,213750,10,3
550150,213750,20,4
550150,213750,30,4
550150,213750,40,5
550150,213800,-20,2
550150,213800,-10,2
550150,213800,0,3
550150,213800,10,3
550150,213800,20,4
550150,213800,30,4
550150,213800,40,5
550150,213850,-20,2
550150,213850,-10,2
550150,213850,0,3
550150,213850,10,3
550150,213850,20,4
550150,213850,30,4
550150,213850,40,5
550150,213900,-20,2
550150,213900,-10,2
550150,213900,0,3
550150,213900,10,4
550150,213900,20,4
550150,213900,30,5
550150,213900,40,5
550200,213550,-20,1
550200,213550,-10,1
550200,213550,0,2
550200,213550,10,3
550200,213550,20,3
550200,213550,30,4
550200,213550,40,4
550200,213600,-20,1
550200,213600,-10,2
550200,213600,0,2
550200,213600,10,3
550200,213600,20,3
550200,213600,30,4
550200,213600,40,4
550200,213650,-20,1
550200,213650,-10,2
550200,213650,0,2
550200,213650,10,3
550200,213650,20,3
550200,213650,30,4
550200,213650,40,4
550200,213700,-20,1
550200,213700,-10,2
550200,213700,0,2
550200,213700,10,3
550200,213700,20,3
550200,213700,30,4
550200,213700,40,5
550200,213750,-20,1
550200,213750,-10,2
550200,213750,0,3
550200,213750,10,3
550200,213750,20,4
550200,213750,30,4
550200,213750,40,5
550200,213800,-20,2
550200,213800,-10,2
550200,213800,0,3
550200,213800,10,3
550200,213800,20,4
550200,213800,30,4
550200,213800,40,5
550200,213850,-20,2
550200,213850,-10,2
550200,213850,0,3
550200,213850,10,3
550200,213850,20,4
550200,213850,30,4
550200,213850,40,5
550200,213900,-20,2
550200,213900,-10,2
550200,213900,0,3
550200,213900,10,4
550200,213900,20,4
550200,213900,30,5
550200,213900,40,5
550250,213550,-20,1
550250,213550,-10,1
550250,213550,0,2
550250,213550,10,3
550250,213550,20,3
550250,213550,30,4
550250,213550,40,4
550250,213600,-20,1
550250,213600,-10,2
550250,213600,0,2
550250,213600,10,3
550250,213600,20,3
550250,213600,30,4
550250,213600,40,4
550250,213650,-20,1
550250,213650,-10,2
550250,213650,0,2
550250,213650,10,3
550250,213650,20,3
550250,213650,30,4
550250,213650,40,4
550250,213700,-20,1
550250,213700,-10,2
550250,213700,0,2
550250,213700,10,3
550250,213700,20,3
550250,213700,30,4
550250,213700,40,5
550250,213750,-20,1
550250,213750,-10,2
550250,213750,0,3
550250,213750,10,3
550250,213750,20,4
550250,213750,30,4
550250,213750,40,5
550250,213800,-20,2
550250,213800,-10,2
550250,213800,0,3
550250,213800,10,3
550250,213800,20,4
550250,213800,30,4
550250,213800,40,5
550250,213850,-20,2
550250,213850,-10,2
550250,213850,0,3
550250,213850,10,3
550250,213850,20,4
550250,213850,30,4
550250,213850,40,5
550250,213900,-20,2
550250,213900,-10,2
550250,213900,0,3
550250,213900,10,4
550250,213900,20,4
550250,213900,30,5
550250,213900,40,5
550300,213550,-20,1
550300,213550,-10,1
550300,213550,0,2
550300,213550,10,2
550300,213550,20,3
550300,213550,30,4
550300,213550,40,4
550300,213600,-20,1
550300,213600,-10,2
550300,213600,0,2
550300,213600,10,3
550300,213600,20,3
550300,213600,30,4
550300,213600,40,4
550300,213650,-20,1
550300,213650,-10,2
550300,213650,0,2
550300,213650,10,3
550300,213650,20,3
550300,213650,30,4
550300,213650,40,4
550300,213700,-20,1
550300,213700,-10,2
550300,213700,0,2
550300,213700,10,3
550300,213700,20,3
550300,213700,30,4
550300,213700,40,5
550300,213750,-20,1
550300,213750,-10,2
550300,213750,0,3
550300,213750,10,3
550300,213750,20,4
550300,213750,30,4
550300,213750,40,5
550300,213800,-20,2
550300,213800,-10,2
550300,213800,0,3
550300,213800,10,3
550300,213800,20,4
550300,213800,30,4
550300,213800,40,5
550300,213850,-20,2
550300,213850,-10,2
550300,213850,0,3
550300,213850,10,3
550300,213850,20,4
550300,213850,30,4
550300,213850,40,5
550300,213900,-20,2
550300,213900,-10,2
550300,213900,0,3
550300,213900,10,3
550300,213900,20,4
550300,213900,30,5
550300,213900,40,5
550350,213550,-20,1
550350,213550,-10,1
550350,213550,0,2
550350,213550,10,2
550350,213550,20,3
550350,213550,30,4
550350,213550,40,4
550350,213600,-20,1
550350,213600,-10,2
550350,213600,0,2
550350,213600,10,3
550350,213600,20,3
550350,213600,30,4
550350,213600,40,4
550350,213650,-20,1
550350,213650,-10,2
550350,213650,0,2
550350,213650,10,3
550350,213650,20,3
550350,213650,30,4
